block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count
133,54,0.5016362459163554,1,4
340,23,0.4742733770877657,1,3
366,16,0.46287640825302956,1,3
97,35,0.45269542982776556,1,4
227,29,0.45053855375304086,1,3
168,23,0.44785375065485283,1,3
377,55,0.4397509666093196,1,3
306,52,0.43460910466417263,1,3
276,29,0.43141608873039217,1,3
315,56,0.42703850013822453,1,4
318,38,0.41901993496825274,1,3
72,47,0.40843446608730527,1,3
338,49,0.4053623724255261,1,3
273,44,0.3840989873883685,1,3
294,57,0.37962116914801813,1,5
225,20,0.37493250183792237,1,3
235,33,0.37301623821788144,1,3
143,58,0.3422289773740454,1,4
202,44,0.33438638186057246,1,3
201,59,0.3215354204468621,1,3
231,49,0.31491993058251366,1,3
301,60,0.29999105188268915,1,3
181,45,0.2992355475130766,1,4
50,61,0.28951324251940586,1,3
279,40,0.2870065587346969,1,3
329,27,0.2850350050713262,1,3
328,27,0.2850350050713262,1,3
153,42,0.28396677058083925,2,8
152,42,0.28396677058083925,2,8
303,24,0.26577132303863205,1,5
158,23,0.2555310854395165,1,4
269,62,0.2542158875618896,1,3
378,63,0.24803611719077212,1,3
287,45,0.2457752461300478,1,3
239,64,0.24287881558266458,1,3
238,64,0.24287881558266458,1,3
125,65,0.23927160365650338,1,3
139,38,0.20237239162637724,3,6
387,66,0.19670511191913614,1,2
323,1,0.19601869438217806,1,2
217,52,0.1932471255489445,1,4
371,67,0.1928584895930912,1,3
248,68,0.19242262335183175,1,3
149,35,0.18933162865367426,1,2
140,38,0.17954096560773158,2,4
180,27,0.17817211654703158,1,3
250,15,0.17792949159064783,1,2
285,18,0.17296827647436352,2,4
195,17,0.16973634542171573,1,2
237,33,0.1658714421908179,1,2
376,67,0.1635541446035248,1,2
142,69,0.1633890357322445,1,2
141,69,0.1633890357322445,1,2
356,42,0.16257988861119357,1,2
154,42,0.1623184052435601,1,2
31,8,0.15815878802160727,1,2
30,8,0.15815878802160727,1,2
25,8,0.15631235423532186,1,2
233,33,0.15574092950879714,1,2
193,38,0.15408024345196686,2,4
179,70,0.15160919077896132,1,2
229,20,0.15139163345312578,1,2
365,49,0.15029516961567888,1,2
247,20,0.14535036389051934,1,2
322,71,0.14304068591972965,1,2
354,19,0.1413654949661893,1,2
161,35,0.1412393400380002,1,2
175,70,0.1388097533862736,1,2
275,6,0.13596174516662826,1,2
205,72,0.13567593152078938,1,2
346,69,0.13180702583562717,1,2
150,35,0.12935915990076025,1,3
385,53,0.12828505886343103,1,2
400,49,0.12616221936406874,1,2
331,54,0.12463328947347065,1,2
90,34,0.12217378418252844,2,4
337,49,0.11848675499047993,1,2
336,49,0.11848675499047993,1,2
335,49,0.11848675499047993,1,2
334,49,0.11848675499047993,1,2
333,49,0.11848675499047993,1,2
353,43,0.1166917036802387,1,2
293,39,0.11344823899735551,1,2
339,49,0.11110613845254866,1,2
374,53,0.11092579878841385,1,2
316,31,0.11077294491172962,1,2
325,17,0.10974085409138784,1,2
278,40,0.10801252349928968,1,2
394,62,0.10645996819772534,1,2
392,55,0.10467525276514056,1,2
321,38,0.10298586127091108,1,2
83,47,0.10243897964366001,1,3
211,45,0.10174346430084519,1,2
208,73,0.10134864738091269,1,3
363,56,0.1013207536249387,1,2
311,36,0.10077972630660395,1,2
345,74,0.10048087202094871,1,2
260,50,0.09857983542129745,1,3
267,17,0.0980899735416812,1,2
364,56,0.09762930406710277,1,2
386,56,0.09569053147413062,1,2
